signals at time               246055: a= 12, b=  2, prod=    2, rst=0
signals at time               246135: a= 12, b=  3, prod=    3, rst=0
signals at time               246215: a= 12, b=  4, prod=    4, rst=0
signals at time               246295: a= 12, b=  5, prod=    5, rst=0
signals at time               246375: a= 12, b=  6, prod=    6, rst=0
signals at time               246455: a= 12, b=  7, prod=    7, rst=0
signals at time               246535: a= 12, b=  8, prod=    8, rst=0
signals at time               246615: a= 12, b=  9, prod=    9, rst=0
signals at time               246695: a= 12, b= 10, prod=   10, rst=0
signals at time               246775: a= 12, b= 11, prod=   11, rst=0
signals at time               246855: a= 12, b= 12, prod=   12, rst=0
signals at time               246935: a= 12, b= 13, prod=   13, rst=0
signals at time               247015: a= 12, b= 14, prod=   14, rst=0
signals at time               247095: a= 12, b= 15, prod=   15, rst=0
signals at time               247175: a= 12, b= 16, prod=   16, rst=0
signals at time               247255: a= 12, b= 17, prod=   17, rst=0
signals at time               247335: a= 12, b= 18, prod=   18, rst=0
signals at time               247415: a= 12, b= 19, prod=   19, rst=0
signals at time               247495: a= 12, b= 20, prod=   20, rst=0
signals at time               247575: a= 12, b= 21, prod=   21, rst=0
signals at time               247655: a= 12, b= 22, prod=   22, rst=0
signals at time               247735: a= 12, b= 23, prod=   23, rst=0
signals at time               247815: a= 12, b= 24, prod=   24, rst=0
signals at time               247895: a= 12, b= 25, prod=   25, rst=0
signals at time               247975: a= 12, b= 26, prod=   26, rst=0
signals at time               248055: a= 12, b= 27, prod=   27, rst=0
signals at time               248135: a= 12, b= 28, prod=   28, rst=0
signals at time               248215: a= 12, b= 29, prod=   29, rst=0
signals at time               248295: a= 12, b= 30, prod=   30, rst=0
signals at time               248375: a= 12, b= 31, prod=   31, rst=0
signals at time               248615: a= 12, b= 34, prod=   34, rst=0
signals at time               248695: a= 12, b= 35, prod=   35, rst=0
signals at time               248775: a= 12, b= 36, prod=   36, rst=0
signals at time               248855: a= 12, b= 37, prod=   37, rst=0
signals at time               248935: a= 12, b= 38, prod=   38, rst=0
signals at time               249015: a= 12, b= 39, prod=   39, rst=0
signals at time               249095: a= 12, b= 40, prod=   40, rst=0
signals at time               249175: a= 12, b= 41, prod=   41, rst=0
signals at time               249255: a= 12, b= 42, prod=   42, rst=0
signals at time               249335: a= 12, b= 43, prod=   43, rst=0
signals at time               249415: a= 12, b= 44, prod=   44, rst=0
signals at time               249495: a= 12, b= 45, prod=   45, rst=0
